model,prompt_file,task_completion,output_format,factual_accuracy,instruction_following,conciseness,prompt_tokens,completion_tokens,total_tokens,latency_seconds,overall_score,notes
gpt-5.5,prompt_01_zeroshot.txt,4,3,5,4,4,533,529,1062,4.41,4.0,"Good extraction but inconsistent formatting"
gpt-5.5,prompt_02_format.txt,4,5,5,5,4,594,426,1020,3.82,4.2,"Explicit JSON formatting improved consistency"
gpt-5.5,prompt_03_oneshot.txt,5,5,5,4,4,709,489,1198,4.02,4.4,"One-shot example improved extraction quality"
gpt-5.5,prompt_04_fewshot.txt,5,5,5,5,4,953,512,1465,4.87,4.6,"Few-shot prompting improved reliability"
gpt-5.5,prompt_05_cot.txt,5,4,5,5,3,662,2242,2904,8.63,4.5,"Excellent reasoning but highly verbose"
gpt-5.5,prompt_06_systempersona.txt,5,5,5,5,4,612,471,1083,4.11,4.5,"Professional structured outputs"
gpt-5.5,prompt_07_role.txt,5,5,5,5,4,610,452,1062,4.08,4.6,"Role prompting improved professionalism"
gpt-5.5,prompt_08_rolefewshot.txt,5,5,5,5,4,774,498,1272,4.51,4.8,"Strongest structured extraction"
gpt-5.5,prompt_09_systemcot.txt,5,5,5,5,3,681,1136,1817,5.72,4.7,"Strong reasoning with moderate verbosity"
gpt-5.5,prompt_10_optimized.txt,5,5,5,5,5,765,463,1228,4.23,4.9,"Best balance of quality and conciseness"

gpt-5.4,prompt_01_zeroshot.txt,4,3,4,4,4,533,462,995,3.62,3.8,"Good baseline but inconsistent formatting"
gpt-5.4,prompt_02_format.txt,4,5,4,5,4,594,411,1005,3.45,4.1,"Formatting instructions improved output structure"
gpt-5.4,prompt_03_oneshot.txt,5,5,4,4,4,709,447,1156,3.84,4.3,"One-shot prompting improved consistency"
gpt-5.4,prompt_04_fewshot.txt,5,5,5,5,4,953,476,1429,4.25,4.5,"Few-shot prompting performed strongly"
gpt-5.4,prompt_05_cot.txt,5,4,5,5,3,662,1715,2377,6.92,4.4,"High reasoning quality with larger outputs"
gpt-5.4,prompt_06_systempersona.txt,5,5,5,5,4,612,432,1044,3.73,4.4,"Professional concise outputs"
gpt-5.4,prompt_07_role.txt,5,5,5,5,4,610,421,1031,3.61,4.5,"Role prompting improved prioritization"
gpt-5.4,prompt_08_rolefewshot.txt,5,5,5,5,4,774,458,1232,4.02,4.7,"Very strong structured output quality"
gpt-5.4,prompt_09_systemcot.txt,5,5,5,5,3,681,904,1585,5.01,4.6,"Strong reasoning performance"
gpt-5.4,prompt_10_optimized.txt,5,5,5,5,5,765,438,1203,3.84,4.8,"Best production-ready output"

gpt-5.4-mini,prompt_01_zeroshot.txt,3,3,4,3,4,533,381,914,2.85,3.3,"Simpler extraction with weaker structure"
gpt-5.4-mini,prompt_02_format.txt,4,5,4,4,4,594,369,963,2.94,3.8,"Formatting guidance improved consistency"
gpt-5.4-mini,prompt_03_oneshot.txt,4,5,4,4,4,709,392,1101,3.16,4.0,"One-shot example improved extraction"
gpt-5.4-mini,prompt_04_fewshot.txt,5,5,4,5,4,953,421,1374,3.52,4.3,"Few-shot prompting significantly helped"
gpt-5.4-mini,prompt_05_cot.txt,4,4,4,5,3,662,1397,2059,5.84,4.1,"Reasoning improved but output became verbose"
gpt-5.4-mini,prompt_06_systempersona.txt,4,5,4,5,4,612,388,1000,3.04,4.2,"System constraints improved output quality"
gpt-5.4-mini,prompt_07_role.txt,4,5,4,5,4,610,372,982,2.96,4.2,"Role prompting improved professionalism"
gpt-5.4-mini,prompt_08_rolefewshot.txt,5,5,5,5,4,774,411,1185,3.41,4.5,"Strongest mini-model output"
gpt-5.4-mini,prompt_09_systemcot.txt,5,5,4,5,3,681,802,1483,4.62,4.4,"Strong reasoning with acceptable structure"
gpt-5.4-mini,prompt_10_optimized.txt,5,5,5,5,4,765,395,1160,3.28,4.6,"Best balance for mini model"
